"北海道食虫植物情報 ""NEPENTHES"" 総目次",,
"No.","題目","刊行"
55,"○勇払郡ウトナイ沼～陸化と森林化が著しく進む～","1994.03.06"
56,"○植物学上の幻の山名～カムイメトクヌプリとその古地図上の位置～","1994.03.25"
57,"○北海道のミミカキグサ類～真の土着種はムラサキミミカキグサ一種のみ？","1994.03.28"
58,"○過去十数年間の冬季間の月別平均気温の推移と寒地性タヌキモ類の開花との関係について","1994.04.01"
59,"○アメリカで刊行された「泥炭地とミズゴケ詳説」 A Focus on Peatlands and Peat Mosses","1994.04.02"
60,"○北海道の沼めぐり・食虫植物ガイド（１）○情報をお待ちしてます○幌向原野湿生植物群落その他～湿原保護の現状と矛盾～","1994.04.04"
61,"○石狩低地帯篠津原野の開発～写真で見る湿原開発の歴史～","1994.04.07"
62,"○北海道の湿原（１５）上美唄学術自然保護地区○幻の花々とともに～壱町田湿地の四季　上山智子著・・・繊細な観察に基づいて書かれた異色の著書○なぜ変化多い？道産ムラサキミミカキグサの花の色","1994.04.15"
63,"○古い教科書に見る食虫植物（１）－三好学編「普通植物学教科書」より－○文献の紹介○江別市だより","1994.04.17"
64,"○古い教科書に見る食虫植物（２）－大日本図書（株）編「師範教科新制植物学」○日本列島湿原王国－明治20年代までは－","1994.04.20"
65,"○米国本草図譜－""PLANTARUM AMERICANARUM""に見る水生タヌキモの１種について○危機せまる勇払郡弁天沼湿原○神奈川県相模原市だより","1994.04.26"
66,"○北海道の湿原（１６）－身近になった衛星写真　北海道の山中になお多数の湿原群○文献紹介－食虫植物にこだわらず広い立場より○入手困難な文献の求め方","1994.04.29"
67,"○ごあいさつ○北海道食虫植物情報""NEPENTHES""の編集について○文学書のカバーの装幀に利用された食虫植物○これも略奪者か？","1994.05.01"
68,"○特集北海道のムシトリスミレ－発見の歴史・幻のムシトリスミレの道内記録について","1994.05.06"
69,"○特集北海道のムシトリスミレ（２）○食虫植物培養　江別市だより","1994.05.07"
70,"○""NEPENTHES""No.65・68につき小宮定志先生より貴重な御教示をいただきました○文学書のカバーの装幀に利用された食虫植物（補遺）○古い植物図譜に見る食虫植物","1994.05.31"
71,"○北海道で観察された水生タヌキモ類の垂直分布（１）","1994.06.03"
72,"○北海道で観察された水生タヌキモ類の垂直分布（２）","1994.06.10"
73,"○樺太食虫植物史資料（補遺II）","1994.06.12"
74,"○樺太食虫植物史資料（補遺III）","1994.06.13"
75,"○樺太食虫植物史資料（補遺IV）","1994.06.14"
76,"○樺太食虫植物史資料（補遺V）","1994.07.01"
77,"○樺太食虫植物史資料（補遺VI）","1994.07.02"
78,"○樺太食虫植物史資料（補遺VII）","1994.07.03"
79,"○樺太食虫植物史資料（補遺VIII）○本道出身の水草研究者　大滝末男氏　田村賞を贈られる","1994.07.05"
80,"○「満洲水草図譜」のタヌキモはタヌキモではない○ギアナ高地のミミカキグサ","1994.10.23"
81,"○オーストラリアとの種子交換によって得られた食虫植物の種子－小宮博士より寄贈○新篠津産ホザキノミミカキグサ復活する","1994.10.23"
82,"○1994年寒地性水生タヌキモ類の開花状況について○国土地理院の地形図と道路地図○北海道－10月の異常高温　タヌキモの殖芽展開　本葉も伸長","1994.11.01"
83,"○北海道の湿原（１７）－かつての石狩川下流域の湿原と新たに形成された湿原","1994.11.03"
84,"○北海道の湿原（１８）－かつての石狩川下流域の湿原と新たに形成された湿原（続編）","1994.11.04"
85,"○北海道の湿原（１９）－かつての石狩川下流域の湿原と新たに形成された湿原（第３報）","1994.11.05"
86,"○戦後刊行になった千島列島の生物学に関する稀少文献について○オーストラリアNSW食虫植物種子発芽試験その後の様子","1994.11.07"
87,"○再生されつつある石狩町の水辺","1994.11.08"
88,"○再生されつつある石狩町の水辺(2)","1994.11.09"
89,"○オーストラリアNSW食虫植物種子発芽試験最終報告○生物の種保存戦略－ミミカキグサ類や他の生物","1994.11.10"
90,"○本草学の珍書を発見＝「本草指南音引」について＝○「千島列島植物図鑑」についての新知見","1994.11.15"
91,"○1994年札幌近郊食虫植物踏査報告","1994.11.19"
92,"○1994 年札幌近郊食虫植物踏査報告　II　モウセンゴケの分布記録○東京荒川左岸下流にビオトープ公園を企画○1994年の猛暑と食虫植物の培養　北海道と本州の状況○オーストラリアNSW食虫植物発芽後の生育状況－特に Drosera indica －○わが家のムシトリスミレの培養","1994.11.21"
93,"○再び石狩川下流直線部右岸河川敷の湿原帯について○北海道の湿原（２０）～雨竜沼湿原～","1994.11.24"
94,"○激変する勇払地方低地帯の自然環境～開発の影響大きく～","1994.11.26"
95,"○激変する勇払地方低地帯の自然環境　開発の影響大きく－第２報","1994.11.29"
96,"○1672年（寛文12年）刊「校正本草網目」の食虫植物について","1994.12.04"
97,"○札幌近郊食虫植物踏査報告（補遺）南幌町三重沼の歴史○北海道での栽培に適した外国産食虫植物（６）フクロユキノシタ－冬の栽培管理","1994.12.10"
98,"○「千島列島植物図鑑」－北部軍管区司令部副官室回覧本を入手○わが家の食虫植物培養－冬期のようす－","1994.12.12"
99,"○1672年（寛文12年）刊「校正本草網目」の食虫植物～修正記事～○記事の修正とその重要性○道内古書店散歩","1994.12.18"
100,"○大阪府豊中市だより○神奈川県相模原市だより○北海道江別市だより○南幌町三重湖の景＝旧幌向村最後の食虫植物自生地＝","1994.12.21"
101,"○下サロベツ原野のナガバノモウセンゴケ～開発のかげに放置状態～○1994年の異常気候とガマの開花について○排水溝で見られるタヌキモ","1994.12.27"
102,"○海軍省より刊行された「学海探求の指針」について","1994.12.29"
103,"○北海道産モウセンゴケのはなし○ギニア高地の食虫植物 Brocchinia reducta の培養について","1995.01.03"
104,"○文献でさぐる昭和12年代の美唄原野の植物－特に中小屋東方の沼を中心として－","1995.01.04"
105,"○＝新著紹介＝　日本歯科大学教授　食虫植物研究会会長　小宮定志著　食虫植物　その不思議を探る○誠文堂新光社版　ガーデンシリーズ「食虫植物ふしぎな魅力」（食虫植物研究会監修）をお持ちの方へ○わが家の室内温室から－１月の温室－","1995.01.09"
106,"○イワオヌプリ火山帯のUtricularia　百年のなぞ○歴史上一度しか調査されなかった道南幻の湿原植物記＝舘脇　操著：「恵山岬に於ける植物景観」の紹介＝","1995.01.10"
107,"○西暦2000年を目指して企画された二つの事業紹介◎世界唯一の食虫植物園の開設について◎本格的な植物図譜「北海道植物図譜」の刊行について○北海道で刊行された苦心の出版物「郷土研究」No.1～13","1995.01.12"
108,"○洪水はん濫分布頻度・地質とムラサキミミカキグサの分布について～石狩川流域を中心として～","1995.01.14"
109,"○東京都だより　南総食虫植物園の開設構想について○地質的な条件から見たムラサキミミカキグサの北進戦略○＝文献紹介＝「水辺ビオトープ－その基礎と事例」","1995.01.17"
110,"○北海道の湿原（２１）ウトナイ沼北東部に見る小湿原○泥炭と食虫植物への利用の方途○日本最初の泥炭に関する専門書～時任一彦著：泥炭地改良及泥炭利用論～","1995.01.20"
111,"○千島食虫植物史資料（１）地理的探検・物産調査時代","1995.01.28"
112,"○千島食虫植物史資料（２）地理的探検・物産調査時代","1995.01.28"
113,"○千島食虫植物史資料（３）明治時代編","1995.01.29"
114,"○千島食虫植物史資料（４）明治時代編","1995.02.01"
115,"○千島食虫植物史資料（５）明治時代編","1995.02.05"
116,"○千島食虫植物史資料（６）明治時代編","1995.02.08"
117,"○千島食虫植物史資料（７）明治・大正編","1995.02.10"
118,"○千島食虫植物史資料（８）大正時代編","1995.02.12"
119,"○千島食虫植物史資料（９）大正時代編","1995.02.15"
120,"○千島食虫植物史資料（１０）大正・昭和時代編","1995.02.17"
121,"○千島食虫植物史資料（１１）昭和時代編","1995.02.17"
122,"○千島食虫植物史資料（１２）昭和時代編","1995.02.18"
123,"○千島食虫植物史資料（１３）昭和時代編","1995.02.20"
124,"○千島食虫植物史資料（１４）昭和時代編","1995.02.23"
125,"○千島食虫植物史資料（１５）昭和時代編","1995.02.25"
126,"○千島食虫植物史資料（１６）昭和時代編","1995.02.29"
127,"○千島食虫植物史資料（１７）昭和時代編","1995.03.02"
128,"○千島食虫植物史資料（１８）昭和時代編","1995.03.10"
129,"○千島食虫植物史資料（１９）昭和時代編","1995.03.13"
130,"○千島食虫植物史資料（２０）昭和時代編","1995.03.16"
131,"○千島食虫植物史資料（２１）昭和時代編","1995.03.19"
132,"○千島食虫植物史資料（２２）昭和時代編","1995.03.20"
133,"○千島食虫植物史資料（２３）昭和時代編○千島食虫植物史資料　補遺（１）","1995.03.__"
134,"○千島食虫植物史資料　補遺（２）○北海道での栽培に適した外国産食虫植物（７）Pinguicula sharpii","1995.03.23"
135,"○千島食虫植物史資料　補遺（３）","1995.03.25"
136,"○千島食虫植物史資料　補遺（４）","1995.03.28"
137,"○千島食虫植物史資料　補遺（５）","1995.03.29"
138,"○千島食虫植物史資料　補遺（６）","1995.04.06"
139,"○サハリンの旅～幻の食虫植物を求めて～（１）・出発前のとんだハプニング・＝サハリンの踏査行程＝概略","1995.09.14"
140,"○サハリンの旅～幻の食虫植物を求めて～（２）・はじめて見るサハリン島～雲海の切れ目より～・黒川村の湿原～幻の食虫植物 Pinguicula villosa カラフトムシトリスミレを求めて～","1995.09.15"
141,"○サハリンの旅～幻の食虫植物を求めて～（３）","1995.09.16"
142,"○サハリンの旅～幻の食虫植物を求めて～（４）・永世沼周辺部の植物相","1995.09.17"
143,"○サハリンの旅～幻の食虫植物を求めて～（５）・キャンプ地の朝","1995.09.18"
144,"○サハリンの旅～幻の食虫植物を求めて～（６）・密漁者たち","1995.09.22"
145,"○サハリンの旅～幻の食虫植物を求めて～（７）・黒川より栄浜へ","1995.09.23"
146,"○サハリンの旅～幻の食虫植物を求めて～（８）・承前（黒川より栄浜へ）","1995.09.24"
147,"○サハリンの旅～幻の食虫植物を求めて～（９）・承前（黒川より栄浜）・栄浜の幻の珍花＝カラフトノウショクエゾエンゴサク（仮称）＝","1995.09.26"
148,"○サハリンの旅～幻の食虫植物を求めて～（１０）・承前（黒川より栄浜へ）・出版案内","1995.09.26"
149,"○ サハリンの旅～幻の食虫植物を求めて～（１１）・SOVETSKOYE奥の泥炭湿原とPODLESNAYE海岸附近の植物調査・DOLINSK植物園見学－おばあさんに怒鳴られる！！－・ロシア人もワラビを食う－レストランでの貴重な体験－・ユージノサハリンスクよりポロナイスクへ　われわれの乗る汽車が無い！！","1995.09.28"
150,"○サハリンの旅～幻の食虫植物を求めて～（１２）・（承前）ユージノサハリンスクよりポロナイスクへ・闇夜を走る窓あき列車・空の旅－ポロナイスク（敷香）よりチリコロ（散頃）へ－","1995.10.01"
151,"○サハリンの旅～幻の食虫植物を求めて～（１３）・（承前）空の旅－ポロナイスク（敷香）よりチリコロ（散頃）へ・空から見下ろす大湿原","1995.10.02"
152,"○サハリンの旅～幻の食虫植物を求めて～（１４）・樺太にもあった極地地形！！～上空より発見された""POLYGON""～","1995.10.04"
153,"○サハリンの旅～幻の食虫植物を求めて～（１５）・サハリンに何故できる極地地形ポリゴン・空の旅後半＝ポロナイ湿原上空よりチリコロへ＝","1995.10.10"
154,"○サハリンの旅～幻の食虫植物を求めて～（１６）・幻の珍花　キバナクロユリ＝樺太植物史上の初発見＝・北海道キバナクロユリ発見絶滅史","1995.10.10"
155,"○サハリンの旅～幻の食虫植物を求めて～（１７）・（承前）北海道キバナクロユリ発見絶滅史・サハリンのキバナクロユリ","1995.10.13"
156,"○サハリンの旅～幻の食虫植物を求めて～（１８）・北辺の貴婦人－世界のバイモ属から観た樺太のキバナクロユリ・山と沢の踏査、仮小屋あれこれ","1995.10.21"
157,"○サハリンの旅～幻の食虫植物を求めて～（１９）・（承前）山と沢の踏査、仮小屋あれこれ・現地の人人との交流","1995.10.23"
158,"○サハリンの旅～幻の食虫植物を求めて～（２０）・サハリンでの植物民俗学的な取聴＝ワシリー氏に聞く＝・田中・西川氏　チリコロ川でルアーづり","1995.10.24"
159,"○サハリンの旅～幻の食虫植物を求めて～（２１）・川島山を探索－伐採場に出る・船泊を経由しTAMARINKA川をさかのぼる・ミヤマハンショウヅルの美しいサハリン","1995.11.06"
160,"○サハリンの旅～幻の食虫植物を求めて～（２２）・豪快に走る払い下げ軍用トラック～おしりの皮がむける～・いまはむかしのチリコロ・川島山への旅","1995.11.08"
161,"○サハリンの旅～幻の食虫植物を求めて～（２３）・北樺太南端の村へ飛ぶ","1995.11.15"
162,"○サハリンの旅～幻の食虫植物を求めて～（２４）・北樺太南端の村へ飛ぶ（承前）","1995.11.15"
163,"○サハリンの旅～幻の食虫植物を求めて～（２５）・北樺太南端の村へ飛ぶ（承前）・大河ツイミ川・再びポロナイ大湿原へ飛ぶ～幻の食虫植物 P.villosa を求めて～","1995.11.15"
164,"○サハリンの旅～幻の食虫植物を求めて～（２６）・再びポロナイ大湿原に飛ぶ～幻の食虫植物 P.villosa を求めて～（承前）","1995.11.16"
165,"○サハリンの旅～幻の食虫植物を求めて～（２７）・再びポロナイ大湿原に飛ぶ～幻の食虫植物 P.villosa を求めて～（承前）","1995.11.18"
166,"○サハリンの旅～幻の食虫植物を求めて～（２８）・再びポロナイ大湿原に飛ぶ～幻の食虫植物 P.villosa を求めて～（承前）","1995.11.20"
167,"○サハリンの旅～幻の食虫植物を求めて～（２９）・""NEPENTHES"" No.155のサハリンのキバナクロユリにつき訂正記事・再びポロナイ大湿原に飛ぶ～幻の食虫植物 P.villosa を求めて（承前）","1995.11.23"
168,"○サハリンの旅～幻の食虫植物を求めて～（３０）・【訃報】～“幻の川島山”を知る原松次先生御逝去～・再びポロナイ大湿原に飛ぶ～幻の食虫植物 P.villosa を求めて～（承前）","1995.11.24"
169,"○サハリンの旅～幻の食虫植物を求めて～（３１）・再びポロナイ大湿原に飛ぶ～幻の食虫植物 P.villosa を求めて～（承前）・ユジノサハリンスクへ飛ぶ","1995.11.25"
170,"○サハリンの旅～幻の食虫植物を求めて～（３２）・チエホフ岳登山","1995.11.26"
171,"○サハリンの旅～幻の食虫植物を求めて～（３３）・チエホフ岳登山（承前）","1995.12.03"
172,"○サハリンの旅～幻の食虫植物を求めて～（３４）・チエホフ岳登山（承前）","1995.12.04"
173,"○サハリンの旅～幻の食虫植物を求めて～（３５）・チエホフ岳一峰頂上附近にパルナシウスが舞う","1995.12.04"
174,"○サハリンの旅～幻の食虫植物を求めて～（３６）・チエホフ岳登山（承前）","1995.12.05"
175,"○サハリンの旅～幻の食虫植物を求めて～（３７）・チエホフ岳登山（承前）・たくましき植物の素顔","1995.12.06"
176,"○サハリンの旅～幻の食虫植物を求めて～（３８）・サハリンのキバナクロユリ（補遺）・サハリン州立郷土史博物館の見学","1995.12.10"
177,"○サハリンの旅～幻の食虫植物を求めて～（３９）・サハリン州立郷土史博物館の見学（承前）・サハリンの首都ユジノサハリンスクの印象","1995.12.13"
178,"○サハリンの旅～幻の食虫植物を求めて～（４０）・サハリンの首都ユジノサハリンスクの印象（承前）","1995.12.15"
179,"○サハリンの旅～幻の食虫植物を求めて～（４１）・サハリンの首都ユジノサハリンスクの印象（承前）・“おはようございます”－美しいロシアの少女－","1995.12.16"
180,"○サハリンの旅～幻の食虫植物を求めて～（４２）・旅中余話（１）「クルミをお食べなさい」・旅中余話（２）帰国前日の晩餐会","1995.12.17"
181,"○サハリンの旅～幻の食虫植物を求めて～（４３）・旅中余話（３）－便利だが高額料金の直通国際電話料・旅中余話（４）独裁者「スターリンの栄光」実らず","1995.12.17"
182,"○サハリンの旅～幻の食虫植物を求めて～（４４）・踏査のための装備・踏査後－装備についての反省－・踏査時期など","1995.12.18"
183,"○サハリンの旅～幻の食虫植物を求めて～（４５）・小宮博士採集サハリン産食虫植物標本記録・あとがき○文献紹介　玉貫光一著　樺太風土記○速報（食虫植物他）","1995.12.26"
184,"○サハリンの旅～幻の食虫植物を求めて～（４６）◎サハリン植物紀行（補遺－１）・自然発火による森林火災・帰国後札幌の古書店に出現した樺太植物調査のナマ資料","1996.05.03"
185,"○サハリンの旅～幻の食虫植物を求めて～（４７）◎サハリン植物紀行（補遺－２）・サハリンの針葉樹－鈴谷岳頂上によじ登ったエゾマツの話","1996.05.05"
186,"○ サハリンの旅～幻の食虫植物を求めて～（４８）◎サハリン植物紀行（補遺－３）・幻の食虫植物カラフトムシトリスミレの分布経路について・カラフトムシトリスミレの現世世界分布・分布型から見たカラフトムシトリスミレ・サハリンや南千島色丹島のカラフトムシトリスミレはどこからやって来たか","1996.05.10"
187,"○サハリンの旅～幻の食虫植物を求めて～（４９）◎サハリン植物紀行（補遺－４）・サハリンや南千島色丹島のカラフトムシトリスミレはどこからやって来たか（承前）・釧路湿原の幻のムシトリスミレについて","1996.05.15"
188,"○サハリンの旅～幻の食虫植物を求めて～（５０）◎サハリン植物紀行（補遺－５）・釧路湿原の幻のムシトリスミレについて（承前）・1995年「幻の食虫植物を求めて8日間の旅」で大部分未踏査となった内淵湿原・樺太名物ヤブカ対策ばなし","1996.05.20"
189,"○サハリンの旅～幻の食虫植物を求めて～（５１）◎サハリン植物紀行（補遺－６）・樺太名物ヤブカ対策ばなし（承前）","1996.05.28"
190,"○サハリンの旅～幻の食虫植物を求めて～（５２）◎サハリン植物紀行（補遺－７）・サハリン踏査前に通覧できなかった極珍の地質図・サハリンのチョウ－新型につきさらに詳説","1996.06.02"
191,"○サハリンの旅～幻の食虫植物を求めて～（５３）◎サハリン植物紀行（補遺－８）・サハリンのチョウ－新型につきさらに詳説（承前）","1996.06.19"
192,"○サハリンの旅～幻の食虫植物を求めて～（５４）◎サハリン植物紀行（補遺最終号）・千島列島・カムチャッカ・シベリア踏査の玄関としてのサハリン○＝文献紹介＝カムチャッカの植物を日本語で書いた唯一の文献（単行本）○勇払郡植苗湿原でコタヌキモを採集（速報）","1996.06.24"
193,"○江戸末期最大の日露語辞書「和魯通言比考」と食虫植物について","1996.07.05"
194,"○勇払郡柏原東湿原＝道所有保護地区となる＝○新篠津湿原＝最近の様子○""NEPENTHES""刊行遅延のおわび○訂正のお知らせ","1996.10.03"
195,"○石狩川下流右岸部の自然","1996.10.15"
196,"○カの天敵としてのタヌキモ類やその他の植物－文献紹介－○タヌキモに卵を産みつける魚類の話○新品のまま入手できた菅原繁蔵の「樺太植物図誌」原本","1996.11.03"
197,"○サロベツ原野のナガバノモウセンゴケについての新情報○頓別原野のナガバノモウセンゴケについての新情報○日本最初の食虫植物の培養書から最新の培養書まで","1996.11.05"
198,"○土木工事の穴の調査研究～知らしめるべし穴の効用～○見られなくなった北海道産ヤチコタヌキモ","1996.11.07"
199,"○空知郡北村所在「大沼」＝開発により原始の姿を失う＝○空知郡南幌町三重湖の最近の様子について○極貧栄養状態でタヌキモの栽培を長年月行うとどのように変身するか","1996.11.10"
200,"○極貧栄養状態でタヌキモの栽培を長年月行うとどのように変身するか－前号より－","1996.11.11"
201,"○食虫植物研究会第二次樺太植物調査隊踏査行程－Pinguicula spathulata を求めて樺太縦断の旅－","1997.10.22"
202,"○サハリン再訪のための準備○はるかなるサハリン再訪への旅立ち－1997.6.25－○HOTEL LADA へ○雨あがらぬサハリンの空","1997.10.24"
203,"（前号の続き）○船泊へ飛ぶ＝この道は、いつか来た道＝○船泊山(g. TOMARINKA)にヘリを飛ばして踏査する","1997.10.25"
204,"○「極東ロシア植物誌」に記録された Pinguicula spathulata の分布図をぬりかえる","1997.10.26"
205,"（前号の続き）","1997.11.01"
206,"（前号の続き）○大魚イトウをつりにヘリを飛ばすパイロット達","1997.11.01"
207,"（前号の続き）○流木に助けられる","1997.11.02"
208,"○幻の川島山見つかる＝船泊山と川島山は同山異名＝","1997.11.03"
209,"○船泊山を今度は徒歩で登る","1997.11.03"
210,"○雪とヒトツバオキナグサ○高山植物（野生のネギ）入りのラーメンを食べる○ヒグマの出没○写真撮影百態","1997.11.04"
211,"（前号の続き）○湿地帯のマルバムシトリスミレの観察○たき火をとり囲んで","1997.11.04"
212,"○真夜中に耳をつんざくようなエンジン音○霧雨の朝を迎える－植物観察・イワナづり","1997.11.05"
213,"（前号の続き）○散頃へ飛ぶ○南樺太カシポ岳へ飛ぶ","1997.11.06"
214,"（前号の続き）○荒廃していたカシポ岳","1997.11.06"
215,"（前号の続き）○カシポ岳を中心とする諸峰及び周辺は景勝地","1997.11.07"
216,"○踏査できなかった泥火山○森和男隊長・梅田衛氏等一行の泥火山調査","1997.11.07"
217,"○カシポ岳 Gora Ugredarsk の踏査から得たもの○送られてきたカシポオキナグサの写真に感動＝森和男隊長・梅田衛氏等一行による樺太踏査＝○カシポ岳をあとにしユージノサハリンスクへ","1997.11.07"
218,"（前号の続き）○＝サハリン北行の旅＝ユージノサハリンスクよりオハへ○オハよりはるかなるサハリン最北エリザベス半島へ","1997.11.08"
219,"（前号の続き）","1997.11.13"
220,"（前号の続き）○珍奇美麗な花で山は招く","1997.11.13"
221,"（前号の続き）","1997.11.13"
222,"○樺太より新発見のエーデルワイス","1997.11.16"
223,"○Gora Orlinaya 山よりエリザベス岬附近ナーラ河口へ○砂浜には絶えることなく続くヒグマの巨大な足跡","1997.11.16"
224,"（前号の続き）○最北のキャンプ地附近で花を咲かせていた植物○再び流木に助けられる","1997.11.17"
225,"（前号の続き）○カとブヨの猛襲を受ける○ナーラ河口より Gora Baklaniya バクラーニヤ山を往復","1997.11.20"
226,"（前号の続き）○ダケカンバのすばらしい純林を通る○悪天候のためヘリは来ずナーラ河口に停滞○Gora Orlinaya 南ピークを踏査する","1997.11.21"
